MES,SEM,FECHA,BEB_REF,CAR_PAQ,CAR_PKL,COMP_ENV,COMP_PAQ,LACT_Q,TOR_TOR,VENTA,COSTO,UTIL,DESC,MES_CFD,SEM_CFD,F_CFD,C_CFD
5,19,07/05/2020,4.0,9.0,13.00537,6.5,,,8.0,6284.80013,3236.647925,3048.152205,0.0,5,19,07/05/2020,13
5,19,08/05/2020,7.0,19.0,26.64224,21.0,,,8.0,13134.51476,6658.354004,6486.960756,5.4,5,19,08/05/2020,22
5,19,09/05/2020,9.0,14.0,53.7183,52.5,,,31.0,18251.2397,9231.7875,9019.4522,0.0,5,19,09/05/2020,24
5,19,10/05/2020,20.0,99.0,105.015,112.0,4.0,,53.0,65186.365,33142.7805,32065.5845,52.62,5,19,10/05/2020,12
5,20,11/05/2020,3.0,3.0,9.115,14.5,,,8.0,3768.085,1728.3035,2039.7815,0.0,5,20,11/05/2020,37
5,20,12/05/2020,2.0,19.0,10.94633,3.5,,,1.0,8787.49937,4528.396344,4259.103026,0.0,5,20,12/05/2020,28
5,20,13/05/2020,7.0,5.0,21.4583,18.0,2.0,1.0,6.0,7497.4997,3771.967,3735.5327,3.2,5,20,13/05/2020,42
5,20,14/05/2020,6.0,5.0,17.747429999999998,15.5,,,9.2,5350.6342700000005,2510.880819,2839.753451,0.0,5,20,14/05/2020,21
5,20,15/05/2020,6.0,16.0,13.7622,15.5,,1.0,7.0,9527.4098,4960.178,4567.2318,0.0,5,20,15/05/2020,28
5,20,16/05/2020,9.0,18.0,41.81135,45.0,4.0,,34.0,17050.93965,8588.18025,8484.7594,23.8,5,20,16/05/2020,20
5,20,17/05/2020,21.0,24.0,64.19012,64.5,3.0,1.0,47.0,26557.499480000002,12906.71682,13660.782659999999,39.525999999999996,5,20,17/05/2020,31
5,21,18/05/2020,5.0,1.0,15.2722,22.5,,,9.0,4140.2998,1961.3105,2178.9893,3.2,5,21,18/05/2020,65
5,21,19/05/2020,2.0,4.0,9.435,13.0,,,8.0,3815.765,1883.5385,1932.2265,7.5,5,21,19/05/2020,53
5,21,20/05/2020,15.0,12.0,51.86779,51.0,,1.0,23.0,17971.59491,8911.58194,9060.01297,59.7,5,21,20/05/2020,62
5,21,21/05/2020,8.0,5.0,15.5441,22.5,,,7.0,5603.6732,2615.598775,2988.074425,10.0987,5,21,21/05/2020,89
5,21,22/05/2020,8.0,11.0,16.35764,12.0,,,11.0,7631.685504000001,3863.48004,3768.205464,7.000056,5,21,22/05/2020,66
5,21,23/05/2020,23.0,32.0,58.16758000000001,60.5,,1.0,28.0,26371.18712,13089.12012,13282.067,22.9,5,21,23/05/2020,63
5,21,24/05/2020,22.0,27.0,66.75511,53.5,,1.0,51.0,28120.62779,13356.56409,14764.0637,52.2073,5,21,24/05/2020,58
5,22,25/05/2020,7.0,4.0,16.68805,20.5,,,13.0,5375.31945,2835.741087,2539.578363,2.6,5,22,25/05/2020,68
5,22,26/05/2020,9.0,4.0,13.12473,13.5,,,14.0,5114.01047,2623.0418,2490.9686699999997,1.3,5,22,26/05/2020,106
5,22,27/05/2020,7.0,2.0,36.392920000000004,24.0,,1.0,12.0,10414.79948,4596.127368,5818.672111999999,0.0,5,22,27/05/2020,88
5,22,28/05/2020,5.0,10.0,15.96543,14.5,,,8.0,7530.17407,3782.46964,3747.70443,0.0,5,22,28/05/2020,118
5,22,29/05/2020,13.0,14.0,27.725,48.5,,1.0,18.0,12825.275,6711.379,6113.896,0.0,5,22,29/05/2020,105
